Problem_Family,Optimizer,Avg_Success_Rate,Avg_Final_Value,Avg_Func_Evals,Avg_Grad_Evals,Avg_Time
Beale,GD-WeightDecay,100.0,1.48e-2,88.0,172.9,0.003
Beale,Trust Region-Adaptive,0.0,1.27e-1,179.6,120.4,0.001
Beale,L-BFGS-Aggressive,0.0,1.39e1,3851.9,1157.0,0.021
Beale,Adam-AMSGrad,0.0,2.17e-1,2502.0,2502.0,0.055
Beale,QQN-Bisection-1,95.0,4.13e-1,277.4,333.6,0.006
Beale,L-BFGS-MoreThuente,100.0,8.71e-3,78.1,58.5,0.001
Beale,QQN-Bisection-2,70.0,2.61e0,83.8,97.7,0.002
Beale,Trust Region-Conservative,5.0,4.33e0,2999.7,2000.5,0.018
Booth,GD-AdaptiveMomentum,0.0,9.51e0,21.0,38.0,0.001
Booth,L-BFGS-Conservative,100.0,1.10e-1,208.0,167.0,0.005
Booth,QQN-CubicQuadraticInterpolation,100.0,2.56e-6,56.0,61.0,0.001
Booth,L-BFGS-Limited,100.0,6.14e-2,56.1,28.1,0.001
Booth,GD-WeightDecay,15.0,1.29e0,27.0,50.1,0.001
Booth,Trust Region-Conservative,0.0,6.49e1,3002.0,2002.0,0.018
Booth,Trust Region-Aggressive,0.0,1.49e0,63.5,43.0,0.000
Booth,Trust Region-Precise,0.0,1.05e1,3002.0,2002.0,0.018
Booth,QQN-Bisection-1,100.0,1.87e-2,162.4,178.1,0.003
Booth,Trust Region-Standard,0.0,5.27e-1,235.1,157.4,0.001
Booth,L-BFGS-Aggressive,0.0,7.43e1,3852.0,1157.0,0.021
Booth,GD-Nesterov,0.0,2.56e0,20.6,37.2,0.001
Booth,GD-Momentum,0.0,7.27e0,21.2,38.5,0.001
Booth,Adam,0.0,1.20e1,2502.0,2502.0,0.049
Booth,Adam-Robust,0.0,2.03e1,2502.0,2502.0,0.055
Booth,Trust Region-Adaptive,90.0,6.12e-2,919.9,614.2,0.006
Booth,GD,100.0,1.17e-1,86.0,169.1,0.002
Booth,Adam-Fast,0.0,3.09e0,56.3,55.3,0.001
Booth,QQN-StrongWolfe,100.0,1.13e-2,26.0,21.0,0.000
Booth,QQN-GoldenSection,100.0,3.39e-2,92.0,14.0,0.001
Booth,L-BFGS-MoreThuente,100.0,3.86e-2,29.7,22.0,0.000
Booth,Adam-WeightDecay,100.0,1.19e-1,1886.3,1886.3,0.039
Booth,QQN-Bisection-2,100.0,1.49e-2,100.0,100.0,0.002
Booth,L-BFGS,100.0,4.05e-2,42.4,26.1,0.001
Booth,Adam-AMSGrad,0.0,1.19e1,2502.0,2502.0,0.055
GoldsteinPrice,Adam-WeightDecay,0.0,8.40e2,209.7,208.7,0.005
GoldsteinPrice,L-BFGS-Conservative,0.0,8.44e2,346.4,159.8,0.005
GoldsteinPrice,Adam,0.0,8.40e2,597.1,596.1,0.012
GoldsteinPrice,L-BFGS-Aggressive,0.0,8.60e2,3847.0,1157.0,0.033
GoldsteinPrice,Adam-AMSGrad,0.0,8.40e2,603.6,602.6,0.014
GoldsteinPrice,GD-Nesterov,0.0,8.57e2,24.6,45.3,0.001
GoldsteinPrice,Trust Region-Adaptive,0.0,2.09e3,2649.8,1767.2,0.016
GoldsteinPrice,Adam-Robust,0.0,8.41e2,81.0,80.0,0.002
GoldsteinPrice,QQN-Bisection-2,5.0,1.58e2,21.2,45.5,0.001
GoldsteinPrice,L-BFGS-Limited,0.0,8.41e1,4259.4,752.8,0.038
GoldsteinPrice,Trust Region-Conservative,0.0,2.12e3,3002.0,2002.0,0.018
GoldsteinPrice,Trust Region-Aggressive,0.0,9.54e2,725.5,484.3,0.005
GoldsteinPrice,L-BFGS,5.0,8.00e2,176.8,55.5,0.003
GoldsteinPrice,GD-WeightDecay,0.0,8.57e2,20.3,36.6,0.001
GoldsteinPrice,L-BFGS-MoreThuente,5.0,1.19e2,621.9,445.1,0.010
GoldsteinPrice,Trust Region-Precise,0.0,2.20e3,2943.8,1963.2,0.018
GoldsteinPrice,GD,0.0,8.50e2,24.6,45.1,0.001
GoldsteinPrice,GD-AdaptiveMomentum,0.0,8.45e2,19.9,35.7,0.001
GoldsteinPrice,QQN-Bisection-1,20.0,8.40e1,362.8,445.0,0.010
GoldsteinPrice,QQN-CubicQuadraticInterpolation,15.0,2.71e2,291.6,344.9,0.011
GoldsteinPrice,QQN-GoldenSection,35.0,8.40e1,383.2,57.8,0.006
GoldsteinPrice,Adam-Fast,0.0,8.55e2,35.3,34.3,0.001
GoldsteinPrice,GD-Momentum,0.0,8.98e2,17.9,31.8,0.000
GoldsteinPrice,QQN-StrongWolfe,15.0,8.34e1,552.0,301.2,0.014
GoldsteinPrice,Trust Region-Standard,0.0,1.22e3,1684.8,1123.9,0.010
Griewank,QQN-StrongWolfe,0.0,7.25e0,1387.9,1409.0,0.059
Griewank,Adam,0.0,1.44e1,2502.0,2502.0,0.053
Griewank,GD-WeightDecay,0.0,1.40e1,996.6,1989.9,0.034
Griewank,Trust Region-Standard,0.0,1.52e1,5.0,4.0,0.000
Griewank,Trust Region-Conservative,0.0,1.27e1,758.1,506.1,0.006
Griewank,GD,0.0,1.43e1,1668.0,3334.0,0.044
Griewank,GD-Nesterov,0.0,1.31e1,729.0,1454.8,0.025
Griewank,QQN-CubicQuadraticInterpolation,0.0,1.40e1,100.3,112.6,0.003
Griewank,GD-AdaptiveMomentum,0.0,1.21e1,361.8,719.8,0.014
Griewank,QQN-GoldenSection,0.0,1.32e1,1918.7,246.2,0.037
Griewank,L-BFGS-Limited,0.0,1.22e1,1272.2,710.9,0.032
Griewank,Trust Region-Adaptive,0.0,1.49e1,8.8,6.5,0.000
Griewank,QQN-Bisection-1,1.7,1.25e1,1109.8,1127.3,0.029
Griewank,L-BFGS-Aggressive,0.0,7.30e0,2447.7,984.0,0.041
Griewank,L-BFGS-Conservative,0.0,1.35e1,959.5,764.1,0.026
Griewank,GD-Momentum,0.0,1.31e1,718.5,1433.6,0.023
Griewank,Adam-Robust,0.0,1.46e1,2502.0,2502.0,0.059
Griewank,Trust Region-Aggressive,0.0,1.52e1,5.0,4.0,0.000
Griewank,L-BFGS-MoreThuente,0.0,1.05e1,230.3,164.3,0.005
Griewank,L-BFGS,0.0,1.21e1,346.4,233.8,0.008
Griewank,QQN-Bisection-2,0.0,1.34e1,1446.5,718.4,0.037
Griewank,Adam-Fast,0.0,9.64e0,361.4,360.4,0.008
Griewank,Adam-WeightDecay,0.0,1.38e1,2128.3,2127.6,0.048
Griewank,Adam-AMSGrad,0.0,1.44e1,2502.0,2502.0,0.060
Griewank,Trust Region-Precise,0.0,1.48e1,25.1,17.4,0.000
Himmelblau,QQN-StrongWolfe,100.0,9.18e-2,61.5,53.7,0.001
Himmelblau,Adam,0.0,8.20e1,2502.0,2502.0,0.049
Himmelblau,Adam-Robust,0.0,1.05e2,2502.0,2502.0,0.055
Himmelblau,Adam-Fast,0.0,5.29e0,69.3,68.3,0.001
Himmelblau,GD-Nesterov,40.0,9.49e0,26.7,49.8,0.001
Himmelblau,Trust Region-Adaptive,100.0,1.32e-1,2048.1,1366.4,0.012
Himmelblau,QQN-Bisection-1,100.0,1.09e-1,107.9,151.1,0.002
Himmelblau,Trust Region-Standard,80.0,1.50e-1,516.7,345.4,0.003
Himmelblau,L-BFGS-Limited,100.0,9.58e-2,60.9,27.8,0.001
Himmelblau,GD,100.0,1.53e-1,42.9,82.8,0.001
Himmelblau,QQN-CubicQuadraticInterpolation,100.0,9.46e-2,68.0,81.1,0.002
Himmelblau,GD-WeightDecay,75.0,3.93e-1,29.6,56.0,0.001
Himmelblau,Adam-AMSGrad,0.0,8.17e1,2502.0,2502.0,0.055
Himmelblau,Trust Region-Conservative,0.0,1.60e2,3002.0,2002.0,0.018
Himmelblau,L-BFGS-Conservative,100.0,2.03e-1,264.2,201.1,0.006
Himmelblau,GD-Momentum,0.0,4.37e1,24.3,44.6,0.001
Himmelblau,L-BFGS-MoreThuente,100.0,1.02e-1,36.3,28.3,0.000
Himmelblau,L-BFGS-Aggressive,0.0,3.44e1,3850.9,1157.0,0.022
Himmelblau,Trust Region-Precise,0.0,1.07e2,3002.0,2002.0,0.018
Himmelblau,Adam-WeightDecay,100.0,2.41e-1,1744.1,1744.1,0.036
Himmelblau,GD-AdaptiveMomentum,0.0,6.94e1,22.8,41.6,0.001
Himmelblau,L-BFGS,35.0,6.22e0,93.7,39.5,0.001
Himmelblau,QQN-GoldenSection,100.0,7.91e-2,102.8,15.2,0.001
Himmelblau,QQN-Bisection-2,100.0,8.17e-2,55.1,74.0,0.001
Himmelblau,Trust Region-Aggressive,25.0,6.71e-1,133.1,89.5,0.001
IllConditionedRosenbrock,Adam-Robust,0.0,1.79e1,1807.8,1807.5,0.043
IllConditionedRosenbrock,L-BFGS-Conservative,26.7,6.33e3,2821.9,914.6,0.034
IllConditionedRosenbrock,GD,0.0,5.42e0,311.1,618.1,0.008
IllConditionedRosenbrock,Trust Region-Adaptive,0.0,9.54e2,2166.2,1444.8,0.014
IllConditionedRosenbrock,L-BFGS-MoreThuente,28.3,5.79e7,2220.5,1666.6,0.040
IllConditionedRosenbrock,Adam-AMSGrad,0.0,5.85e0,1870.4,1870.0,0.044
IllConditionedRosenbrock,QQN-Bisection-2,15.0,1.59e0,1258.1,708.3,0.032
IllConditionedRosenbrock,Trust Region-Aggressive,0.0,2.51e1,807.3,538.8,0.005
IllConditionedRosenbrock,Trust Region-Conservative,0.0,1.07e3,2924.9,1950.6,0.019
IllConditionedRosenbrock,Adam-WeightDecay,0.0,2.78e0,1368.1,1367.5,0.030
IllConditionedRosenbrock,Trust Region-Precise,0.0,1.04e3,2316.8,1545.2,0.015
IllConditionedRosenbrock,Adam,0.0,4.75e0,2483.1,2483.0,0.051
IllConditionedRosenbrock,Trust Region-Standard,0.0,3.75e2,1973.0,1316.0,0.013
IllConditionedRosenbrock,GD-Nesterov,0.0,2.30e0,644.5,1284.9,0.021
IllConditionedRosenbrock,GD-WeightDecay,0.0,1.91e0,578.5,1153.3,0.019
IllConditionedRosenbrock,GD-Momentum,0.0,2.38e1,187.4,370.9,0.006
IllConditionedRosenbrock,Adam-Fast,0.0,1.06e1,170.9,169.9,0.003
IllConditionedRosenbrock,L-BFGS-Limited,0.0,2.73e0,3441.2,834.9,0.039
IllConditionedRosenbrock,QQN-Bisection-1,50.0,7.02e-1,1908.4,2056.4,0.048
IllConditionedRosenbrock,QQN-CubicQuadraticInterpolation,58.3,2.77e-1,1597.5,2107.7,0.069
IllConditionedRosenbrock,L-BFGS-Aggressive,0.0,3.34e2,3851.3,1157.7,0.036
IllConditionedRosenbrock,L-BFGS,0.0,1.35e2,198.6,63.3,0.003
IllConditionedRosenbrock,QQN-StrongWolfe,63.3,2.13e-1,1794.0,1376.7,0.056
IllConditionedRosenbrock,GD-AdaptiveMomentum,0.0,4.97e1,31.0,57.9,0.001
IllConditionedRosenbrock,QQN-GoldenSection,11.7,1.71e0,4247.4,531.8,0.079
Levi,L-BFGS-Limited,25.0,9.89e-1,828.4,235.7,0.009
Levi,Adam-WeightDecay,0.0,1.95e0,99.6,98.6,0.002
Levi,GD,0.0,2.04e0,21.9,39.7,0.001
Levi,GD-Nesterov,0.0,1.93e0,15.2,26.3,0.000
Levi,Trust Region-Standard,0.0,2.18e0,10.7,7.8,0.000
Levi,L-BFGS-MoreThuente,15.0,1.48e0,86.2,63.5,0.001
Levi,Trust Region-Conservative,0.0,1.95e0,490.0,327.3,0.003
Levi,GD-AdaptiveMomentum,0.0,2.06e0,18.7,33.4,0.001
Levi,Adam,0.0,1.93e0,242.4,241.4,0.005
Levi,L-BFGS-Conservative,0.0,1.94e0,209.4,106.5,0.004
Levi,Trust Region-Adaptive,0.0,2.09e0,29.6,20.4,0.000
Levi,Trust Region-Aggressive,0.0,1.33e2,6.3,4.9,0.000
Levi,QQN-CubicQuadraticInterpolation,40.0,1.04e0,189.6,226.7,0.007
Levi,QQN-Bisection-2,20.0,1.08e0,77.5,47.5,0.001
Levi,L-BFGS-Aggressive,0.0,2.87e0,3851.3,1157.0,0.022
Levi,GD-WeightDecay,0.0,2.00e0,28.1,52.2,0.001
Levi,QQN-GoldenSection,45.0,9.83e-1,262.0,42.9,0.004
Levi,L-BFGS,15.0,4.40e0,107.2,45.0,0.002
Levi,QQN-Bisection-1,15.0,1.30e0,200.7,224.9,0.004
Levi,Adam-AMSGrad,0.0,1.91e0,282.9,281.9,0.006
Levi,Adam-Fast,0.0,2.09e0,47.2,46.2,0.001
Levi,GD-Momentum,0.0,2.02e0,19.0,34.0,0.001
Levi,Adam-Robust,0.0,1.88e0,42.6,41.6,0.001
Levi,QQN-StrongWolfe,25.0,1.44e0,450.4,401.8,0.014
Levi,Trust Region-Precise,0.0,2.04e0,76.8,51.9,0.001
Levy,L-BFGS-Conservative,95.0,7.52e-7,441.8,353.2,0.011
Levy,GD-AdaptiveMomentum,0.0,4.88e-1,19.2,34.3,0.001
Levy,Trust Region-Standard,0.0,2.63e0,24.7,17.1,0.000
Levy,QQN-CubicQuadraticInterpolation,100.0,2.10e-7,94.1,111.8,0.003
Levy,L-BFGS-MoreThuente,98.3,2.28e-6,249.5,175.9,0.005
Levy,GD-Momentum,3.3,1.95e-1,35.7,67.5,0.001
Levy,GD-WeightDecay,100.0,9.96e-7,1451.3,2899.7,0.048
Levy,QQN-StrongWolfe,100.0,2.59e-7,72.8,79.9,0.002
Levy,L-BFGS-Aggressive,56.7,4.32e-1,1588.8,509.9,0.021
Levy,Adam,0.0,6.63e-3,2502.0,2502.0,0.055
Levy,Adam-AMSGrad,0.0,8.45e-2,2502.0,2502.0,0.061
Levy,Adam-WeightDecay,53.3,1.74e-6,2071.1,2070.7,0.048
Levy,Adam-Fast,0.0,1.86e-1,36.8,35.8,0.001
Levy,QQN-GoldenSection,100.0,2.37e-7,360.9,52.0,0.006
Levy,L-BFGS-Limited,81.7,1.04e-4,1003.8,433.6,0.019
Levy,Adam-Robust,0.0,6.99e-2,2502.0,2502.0,0.061
Levy,Trust Region-Precise,0.0,4.31e-2,188.1,126.0,0.002
Levy,Trust Region-Conservative,0.0,1.26e-2,1119.6,747.1,0.009
Levy,Trust Region-Adaptive,0.0,6.91e0,52.9,35.9,0.000
Levy,L-BFGS,80.0,1.83e-2,227.3,156.5,0.005
Levy,GD,0.0,2.33e-4,1668.0,3334.0,0.045
Levy,Trust Region-Aggressive,0.0,7.89e-1,8.3,6.2,0.000
Levy,QQN-Bisection-2,100.0,2.22e-7,101.8,118.6,0.003
Levy,GD-Nesterov,8.3,1.34e-1,51.0,98.0,0.002
Levy,QQN-Bisection-1,100.0,2.46e-7,105.1,144.7,0.003
Matyas,L-BFGS-Aggressive,95.0,2.44e-2,217.4,74.0,0.002
Matyas,L-BFGS,100.0,1.47e-2,20.1,16.4,0.000
Matyas,Trust Region-Standard,0.0,2.41e-1,7.2,5.5,0.000
Matyas,Trust Region-Conservative,0.0,3.93e-2,7.0,5.3,0.000
Matyas,QQN-Bisection-2,100.0,1.49e-2,40.9,67.2,0.001
Matyas,QQN-GoldenSection,100.0,1.55e-2,138.9,20.6,0.002
Matyas,Trust Region-Precise,0.0,4.71e-2,5.0,4.0,0.000
Matyas,Adam,100.0,2.50e-2,624.2,624.2,0.012
Matyas,Adam-Robust,100.0,2.48e-2,79.0,79.0,0.002
Matyas,GD-WeightDecay,100.0,2.50e-2,223.7,444.4,0.007
Matyas,QQN-Bisection-1,100.0,1.91e-2,34.2,70.2,0.001
Matyas,GD-Momentum,100.0,2.49e-2,67.2,131.3,0.002
Matyas,Adam-AMSGrad,100.0,2.50e-2,680.7,680.7,0.015
Matyas,Trust Region-Aggressive,0.0,6.67e-1,6.3,4.9,0.000
Matyas,GD-AdaptiveMomentum,95.0,2.52e-2,29.2,55.4,0.001
Matyas,GD,100.0,2.50e-2,629.6,1256.2,0.015
Matyas,L-BFGS-MoreThuente,100.0,1.72e-2,20.8,15.5,0.000
Matyas,L-BFGS-Limited,100.0,1.73e-2,24.6,15.9,0.000
Matyas,Trust Region-Adaptive,0.0,6.88e-2,7.0,5.3,0.000
Matyas,Adam-Fast,100.0,2.30e-2,12.9,12.9,0.000
Matyas,L-BFGS-Conservative,100.0,2.30e-2,39.0,31.4,0.001
Matyas,QQN-CubicQuadraticInterpolation,100.0,1.07e-2,34.0,37.6,0.001
Matyas,GD-Nesterov,100.0,2.49e-2,71.0,139.0,0.002
Matyas,Adam-WeightDecay,100.0,2.49e-2,221.4,221.4,0.005
Matyas,QQN-StrongWolfe,100.0,2.73e-29,24.0,25.0,0.001
Michalewicz,Trust Region-Standard,0.0,-9.39e-1,6.5,5.2,0.000
Michalewicz,Trust Region-Conservative,0.0,-1.56e0,304.0,203.4,0.002
Michalewicz,L-BFGS-Limited,8.3,-1.54e0,1826.3,544.5,0.023
Michalewicz,Adam,50.0,-2.93e0,875.2,874.8,0.018
Michalewicz,L-BFGS-Aggressive,0.0,-6.30e-1,2573.6,864.0,0.021
Michalewicz,GD-AdaptiveMomentum,3.3,-1.89e0,28.3,53.3,0.001
Michalewicz,GD-Nesterov,5.0,-1.69e0,152.9,302.5,0.005
Michalewicz,Adam-AMSGrad,38.3,-2.74e0,360.7,360.1,0.009
Michalewicz,Trust Region-Aggressive,0.0,-6.20e-1,4.8,4.1,0.000
Michalewicz,L-BFGS-MoreThuente,10.0,-1.92e0,732.4,527.9,0.013
Michalewicz,Trust Region-Precise,0.0,-1.56e0,53.2,36.3,0.000
Michalewicz,L-BFGS,3.3,-2.27e-1,319.1,238.2,0.005
Michalewicz,QQN-GoldenSection,3.3,-1.83e0,1840.8,250.2,0.035
Michalewicz,QQN-Bisection-2,13.3,-1.95e0,1399.6,698.5,0.035
Michalewicz,QQN-StrongWolfe,10.0,-2.17e0,1465.6,1120.8,0.045
Michalewicz,L-BFGS-Conservative,10.0,-2.10e0,1569.2,801.2,0.026
Michalewicz,QQN-CubicQuadraticInterpolation,0.0,-1.40e0,1158.9,1427.7,0.043
Michalewicz,QQN-Bisection-1,6.7,-2.02e0,1580.3,1775.0,0.042
Michalewicz,Adam-Fast,46.7,-3.07e0,411.7,411.3,0.008
Michalewicz,GD,15.0,-1.86e0,336.0,669.0,0.009
Michalewicz,GD-WeightDecay,1.7,-1.93e0,227.9,452.0,0.007
Michalewicz,Adam-WeightDecay,3.3,-2.36e0,123.6,122.6,0.003
Michalewicz,Adam-Robust,3.3,-2.23e0,69.0,68.1,0.002
Michalewicz,GD-Momentum,1.7,-1.64e0,44.0,84.7,0.001
Michalewicz,Trust Region-Adaptive,0.0,-1.34e0,14.6,10.6,0.000
Neural Networks,L-BFGS-Conservative,32.5,9.59e-2,2271.3,1495.7,2.168
Neural Networks,L-BFGS-Aggressive,2.5,1.03e-1,3216.0,1219.7,2.238
Neural Networks,Adam-Fast,55.0,9.27e-2,158.8,158.4,0.194
Neural Networks,Trust Region-Aggressive,0.0,7.78e-1,15.4,10.9,0.012
Neural Networks,L-BFGS-MoreThuente,7.5,1.06e-1,2793.2,2126.7,2.807
Neural Networks,Adam-AMSGrad,2.5,1.02e-1,2498.9,2498.9,3.015
Neural Networks,L-BFGS-Limited,22.5,9.89e-2,2965.7,1330.9,2.376
Neural Networks,GD-AdaptiveMomentum,0.0,2.15e-1,15.6,27.1,0.029
Neural Networks,GD-Nesterov,0.0,1.75e-1,309.2,614.7,0.807
Neural Networks,QQN-GoldenSection,80.0,8.97e-2,3217.6,456.6,1.654
Neural Networks,Trust Region-Adaptive,0.0,4.98e-1,36.6,25.0,0.031
Neural Networks,Adam-WeightDecay,92.5,8.95e-2,1536.1,1536.1,1.776
Neural Networks,GD-WeightDecay,0.0,1.40e-1,1668.0,3334.0,3.396
Neural Networks,GD-Momentum,0.0,1.98e-1,61.9,119.9,0.148
Neural Networks,GD,0.0,1.65e-1,1668.0,3334.0,3.398
Neural Networks,QQN-StrongWolfe,57.5,9.20e-2,1378.9,1492.1,1.772
Neural Networks,Trust Region-Conservative,0.0,1.84e-1,141.0,94.7,0.121
Neural Networks,QQN-Bisection-1,97.5,8.89e-2,878.1,861.3,1.129
Neural Networks,QQN-Bisection-2,95.0,8.89e-2,873.7,699.8,0.962
Neural Networks,QQN-CubicQuadraticInterpolation,90.0,8.97e-2,862.2,1140.5,1.389
Neural Networks,Adam-Robust,0.0,1.13e-1,2502.0,2502.0,3.004
Neural Networks,L-BFGS,0.0,1.88e-1,1701.7,963.7,1.454
Neural Networks,Trust Region-Standard,0.0,3.38e-1,20.4,14.2,0.015
Neural Networks,Adam,10.0,9.88e-2,2471.5,2471.5,2.941
Neural Networks,Trust Region-Precise,0.0,1.92e-1,33.1,22.8,0.028
NoisySphere,GD-Momentum,23.3,6.24e0,7.2,11.3,0.001
NoisySphere,Adam-AMSGrad,1.7,5.75e0,21.0,20.3,0.002
NoisySphere,Trust Region-Conservative,0.0,5.78e0,5.7,4.4,0.001
NoisySphere,QQN-Bisection-1,41.7,5.24e0,57.3,74.9,0.010
NoisySphere,L-BFGS-Aggressive,0.0,5.76e0,5.1,2.1,0.000
NoisySphere,Adam-Robust,1.7,5.64e0,17.4,16.6,0.002
NoisySphere,Adam,0.0,5.92e0,21.9,21.1,0.003
NoisySphere,QQN-Bisection-2,0.0,1.97e0,0.8,0.3,0.000
NoisySphere,Adam-Fast,20.0,6.01e0,11.2,10.7,0.001
NoisySphere,L-BFGS-Conservative,83.3,5.23e0,103.7,25.0,0.004
NoisySphere,QQN-GoldenSection,6.7,5.77e0,23.4,5.4,0.001
NoisySphere,Trust Region-Precise,0.0,5.81e0,5.5,4.3,0.000
NoisySphere,Trust Region-Adaptive,0.0,5.33e0,3.5,2.8,0.000
NoisySphere,L-BFGS,26.7,1.51e1,34.4,11.4,0.002
NoisySphere,GD-WeightDecay,18.3,5.67e0,6.4,10.2,0.001
NoisySphere,L-BFGS-Limited,48.3,4.53e0,33.0,7.2,0.001
NoisySphere,GD-Nesterov,23.3,6.39e0,7.1,11.5,0.001
NoisySphere,L-BFGS-MoreThuente,16.7,4.85e0,14.5,12.8,0.001
NoisySphere,QQN-StrongWolfe,43.3,4.05e0,23.1,9.3,0.001
NoisySphere,GD-AdaptiveMomentum,26.7,6.03e0,7.2,11.6,0.001
NoisySphere,Adam-WeightDecay,0.0,5.92e0,24.4,23.7,0.003
NoisySphere,Trust Region-Standard,0.0,5.65e0,3.8,3.1,0.000
NoisySphere,Trust Region-Aggressive,0.0,5.65e0,3.8,3.0,0.000
NoisySphere,QQN-CubicQuadraticInterpolation,0.0,4.33e0,6.1,5.1,0.001
NoisySphere,GD,21.7,6.24e0,9.5,16.1,0.002
PenaltyI,GD-WeightDecay,0.0,3.34e1,14.5,24.9,0.000
