Problem,Optimizer,Success_Rate,Mean_Final_Value,Best_Value,Mean_Func_Evals,Mean_Time
Sphere_10D,QQN-GoldenSection,100.0,1.60e-13,1.45e-13,46.0,0.000
Sphere_10D,QQN-StrongWolfe,100.0,0.00e0,0.00e0,11.0,0.000
Sphere_10D,GD-WeightDecay,100.0,4.61e-3,4.33e-3,62.5,0.002
Sphere_10D,L-BFGS-Conservative,100.0,4.51e-3,4.20e-3,197.5,0.005
Sphere_10D,Trust Region-Precise,65.0,5.27e-1,1.01e-4,504.0,0.004
Sphere_10D,QQN-CubicQuadraticInterpolation,100.0,0.00e0,0.00e0,12.0,0.000
Sphere_10D,Adam-WeightDecay,100.0,4.92e-3,4.88e-3,968.0,0.022
Sphere_10D,L-BFGS-Aggressive,100.0,0.00e0,0.00e0,10.0,0.000
Sphere_10D,L-BFGS-Limited,100.0,1.08e-3,5.57e-7,40.3,0.001
Sphere_10D,L-BFGS-MoreThuente,100.0,0.00e0,0.00e0,10.0,0.000
Sphere_10D,GD,100.0,4.91e-3,4.82e-3,192.4,0.005
Sphere_10D,GD-AdaptiveMomentum,60.0,5.51e-1,2.42e-4,18.4,0.001
Sphere_10D,Adam,95.0,4.98e-3,4.94e-3,2391.8,0.052
Sphere_10D,Adam-AMSGrad,0.0,2.64e-1,1.95e-1,2502.0,0.060
Sphere_10D,Trust Region-Conservative,35.0,3.41e-1,1.07e-3,2968.8,0.020
Sphere_10D,Trust Region-Aggressive,0.0,1.09e4,5.34e3,30.3,0.000
Sphere_10D,QQN-Bisection-2,100.0,0.00e0,0.00e0,13.0,0.000
Sphere_10D,QQN-Bisection-1,100.0,0.00e0,0.00e0,15.0,0.000
Sphere_10D,Adam-Robust,0.0,1.08e-1,4.84e-2,2502.0,0.061
Sphere_10D,Adam-Fast,0.0,6.12e-1,5.73e-1,37.4,0.001
Sphere_10D,Trust Region-Adaptive,30.0,7.30e2,2.03e-4,139.3,0.001
Rosenbrock_2D,L-BFGS-MoreThuente,95.0,1.91e-2,1.40e-4,651.0,0.011
Rosenbrock_2D,GD-AdaptiveMomentum,25.0,6.54e-1,3.23e-3,47.7,0.002
Rosenbrock_2D,Adam-AMSGrad,0.0,3.83e0,4.66e-1,678.1,0.015
Rosenbrock_2D,L-BFGS-Limited,0.0,3.93e0,3.26e-2,2251.6,0.025
Rosenbrock_2D,QQN-Bisection-1,5.0,4.65e-1,6.39e-3,2363.3,0.052
Rosenbrock_2D,QQN-StrongWolfe,35.0,5.67e-2,4.58e-3,2004.3,0.058
Rosenbrock_2D,GD,0.0,1.23e0,7.46e-1,854.0,0.021
Rosenbrock_2D,QQN-GoldenSection,10.0,1.26e-1,8.08e-5,4248.6,0.083
Rosenbrock_2D,Adam-WeightDecay,0.0,4.11e0,1.55e-2,231.9,0.005
Rosenbrock_2D,L-BFGS-Conservative,100.0,6.53e-3,1.09e-3,985.0,0.016
Rosenbrock_2D,Trust Region-Aggressive,0.0,4.66e0,4.01e0,27.6,0.000
Rosenbrock_2D,L-BFGS,0.0,1.36e2,8.12e-1,121.5,0.002
Rosenbrock_2D,Trust Region-Conservative,0.0,2.84e1,1.90e-1,2770.7,0.017
Rosenbrock_2D,GD-Nesterov,0.0,1.49e0,5.05e-2,46.1,0.001
Rosenbrock_2D,QQN-Bisection-2,30.0,6.07e-2,4.36e-3,304.7,0.007
Rosenbrock_2D,Trust Region-Precise,0.0,7.26e0,3.76e0,946.2,0.006
Rosenbrock_2D,Trust Region-Standard,0.0,4.18e0,3.95e0,89.6,0.001
Rosenbrock_2D,Adam-Fast,60.0,2.13e0,8.12e-3,171.8,0.003
Rosenbrock_2D,Adam,0.0,1.22e0,4.86e-1,2502.0,0.049
Rosenbrock_2D,Trust Region-Adaptive,0.0,4.12e0,3.83e0,494.4,0.003
Rosenbrock_2D,GD-Momentum,0.0,5.61e0,4.79e-1,23.8,0.001
Rosenbrock_2D,QQN-CubicQuadraticInterpolation,40.0,3.73e-2,5.16e-3,1619.8,0.065
Rosenbrock_2D,L-BFGS-Aggressive,0.0,3.18e1,4.34e0,3852.0,0.027
Rosenbrock_2D,Adam-Robust,0.0,4.04e0,1.90e0,419.2,0.009
Rosenbrock_2D,GD-WeightDecay,0.0,3.65e0,3.75e-2,58.7,0.002
Rosenbrock_5D,L-BFGS-Aggressive,0.0,8.07e2,1.72e1,3851.6,0.029
Rosenbrock_5D,GD,0.0,5.09e0,4.75e0,32.5,0.001
Rosenbrock_5D,Adam-AMSGrad,0.0,4.40e0,3.25e0,2442.0,0.056
Rosenbrock_5D,QQN-CubicQuadraticInterpolation,70.0,4.25e-1,2.38e-1,1199.2,0.049
Rosenbrock_5D,QQN-Bisection-1,85.0,6.94e-1,2.50e-1,1147.7,0.029
Rosenbrock_5D,Trust Region-Precise,0.0,1.01e3,8.08e2,3002.0,0.019
Rosenbrock_5D,QQN-Bisection-2,55.0,4.48e-1,2.15e-1,1588.3,0.039
Rosenbrock_5D,L-BFGS,0.0,1.50e2,1.98e1,135.3,0.002
Rosenbrock_5D,GD-WeightDecay,60.0,7.30e-1,3.59e-1,72.1,0.002
Rosenbrock_5D,L-BFGS-Conservative,20.0,2.02e1,3.89e-1,3106.7,0.032
Rosenbrock_5D,L-BFGS-MoreThuente,70.0,9.01e-1,2.37e-1,1090.7,0.019
Rosenbrock_5D,GD-AdaptiveMomentum,0.0,4.60e1,3.36e1,20.6,0.001
Rosenbrock_5D,Adam-Robust,0.0,1.46e1,6.12e0,2502.0,0.058
Rosenbrock_5D,L-BFGS-Limited,45.0,4.21e-1,3.92e-1,3855.4,0.045
Rosenbrock_5D,GD-Momentum,0.0,3.55e1,1.96e1,20.8,0.001
Rosenbrock_5D,Adam-Fast,5.0,1.44e1,3.48e-1,44.4,0.001
Rosenbrock_5D,Adam-WeightDecay,60.0,2.07e0,3.93e-1,1128.9,0.024
Rosenbrock_5D,Trust Region-Adaptive,0.0,8.41e2,5.05e2,3002.0,0.019
Rosenbrock_5D,Trust Region-Standard,0.0,6.23e1,4.66e0,2827.2,0.018
Rosenbrock_5D,Trust Region-Conservative,0.0,1.02e3,7.14e2,3002.0,0.021
Rosenbrock_5D,QQN-GoldenSection,55.0,6.13e-1,2.60e-1,3314.1,0.061
Rosenbrock_5D,Adam,0.0,3.92e0,2.83e0,2471.6,0.050
Rosenbrock_5D,GD-Nesterov,10.0,4.24e0,3.90e-1,335.4,0.011
Rosenbrock_5D,Trust Region-Aggressive,0.0,5.00e0,4.66e0,776.1,0.005
Rosenbrock_5D,QQN-StrongWolfe,100.0,3.45e-1,2.58e-1,792.6,0.024
Rosenbrock_10D,Trust Region-Adaptive,0.0,2.02e3,1.64e3,3002.0,0.022
Rosenbrock_10D,Adam-AMSGrad,100.0,9.69e0,9.66e0,2353.0,0.058
Rosenbrock_10D,Trust Region-Standard,0.0,1.06e3,6.70e2,3002.0,0.020
Rosenbrock_10D,Adam-Fast,45.0,1.94e1,9.18e0,61.6,0.001
Rosenbrock_10D,QQN-CubicQuadraticInterpolation,100.0,9.60e0,9.48e0,109.6,0.004
Rosenbrock_10D,L-BFGS,0.0,1.19e2,2.51e1,338.9,0.005
Rosenbrock_10D,Adam-WeightDecay,100.0,9.67e0,9.61e0,789.4,0.018
Rosenbrock_10D,Adam-Robust,0.0,3.49e1,1.61e1,2502.0,0.062
Rosenbrock_10D,GD-AdaptiveMomentum,0.0,1.02e2,8.45e1,23.1,0.001
Rosenbrock_10D,L-BFGS-Conservative,100.0,9.68e0,9.63e0,205.3,0.005
Rosenbrock_10D,QQN-Bisection-1,100.0,8.47e0,7.17e0,120.3,0.003
Rosenbrock_10D,L-BFGS-MoreThuente,95.0,9.20e0,7.83e0,212.8,0.003
Rosenbrock_10D,QQN-GoldenSection,100.0,9.45e0,9.03e0,277.2,0.005
Rosenbrock_10D,Trust Region-Precise,0.0,2.10e3,1.66e3,3002.0,0.021
Rosenbrock_10D,GD-WeightDecay,100.0,9.58e0,9.45e0,35.7,0.001
Rosenbrock_10D,QQN-Bisection-2,100.0,9.37e0,8.02e0,83.2,0.002
Rosenbrock_10D,QQN-StrongWolfe,100.0,8.69e0,7.76e0,90.3,0.003
Rosenbrock_10D,GD-Momentum,55.0,3.53e1,9.32e0,35.0,0.001
Rosenbrock_10D,Trust Region-Conservative,0.0,2.16e3,1.76e3,3002.0,0.020
Rosenbrock_10D,Trust Region-Aggressive,30.0,1.00e1,9.59e0,1615.8,0.012
Rosenbrock_10D,L-BFGS-Aggressive,0.0,1.64e2,5.82e1,3850.3,0.050
Rosenbrock_10D,L-BFGS-Limited,100.0,9.59e0,9.51e0,62.3,0.001
Rosenbrock_10D,GD-Nesterov,100.0,9.31e0,8.97e0,28.6,0.001
Rosenbrock_10D,GD,75.0,9.75e0,9.59e0,41.5,0.001
Rosenbrock_10D,Adam,90.0,9.71e0,9.68e0,2293.1,0.050
Michalewicz_2D_m10,QQN-GoldenSection,0.0,-7.52e-7,-9.60e-6,1573.8,0.026
Michalewicz_2D_m10,QQN-CubicQuadraticInterpolation,0.0,-5.13e-7,-1.00e-5,19.1,0.001
Michalewicz_2D_m10,L-BFGS-Conservative,0.0,-7.20e-7,-1.07e-5,838.7,0.014
Michalewicz_2D_m10,L-BFGS-Limited,25.0,-2.50e-1,-1.00e0,466.0,0.006
Michalewicz_2D_m10,QQN-Bisection-2,0.0,-4.01e-2,-8.01e-1,1074.5,0.027
Michalewicz_2D_m10,L-BFGS-Aggressive,0.0,-8.97e-2,-8.97e-1,1145.5,0.015
Michalewicz_2D_m10,GD-Momentum,0.0,-3.25e-2,-6.49e-1,42.9,0.001
Michalewicz_2D_m10,Adam,50.0,-4.98e-1,-9.97e-1,1642.0,0.032
Michalewicz_2D_m10,Trust Region-Standard,0.0,-6.09e-7,-9.91e-6,4.2,0.000
Michalewicz_2D_m10,L-BFGS-MoreThuente,25.0,-2.50e-1,-1.00e0,752.4,0.010
Michalewicz_2D_m10,GD-AdaptiveMomentum,5.0,-5.00e-2,-9.99e-1,29.5,0.001
Michalewicz_2D_m10,Adam-Robust,0.0,-3.65e-7,-3.26e-6,13.0,0.000
Michalewicz_2D_m10,Trust Region-Conservative,0.0,-8.81e-7,-1.46e-5,4.3,0.000
Michalewicz_2D_m10,GD,0.0,-1.16e-6,-7.38e-6,252.8,0.006
Michalewicz_2D_m10,GD-Nesterov,10.0,-9.98e-2,-9.99e-1,272.0,0.008
Michalewicz_2D_m10,Trust Region-Aggressive,0.0,-5.33e-7,-8.89e-6,4.2,0.000
Michalewicz_2D_m10,QQN-Bisection-1,0.0,-1.99e-2,-3.99e-1,1278.7,0.036
Michalewicz_2D_m10,Trust Region-Precise,0.0,-7.80e-7,-4.71e-6,4.5,0.000
Michalewicz_2D_m10,Adam-Fast,40.0,-4.71e-1,-1.00e0,1058.0,0.021
Michalewicz_2D_m10,Trust Region-Adaptive,0.0,-4.40e-7,-2.59e-6,4.3,0.000
Michalewicz_2D_m10,Adam-AMSGrad,30.0,-2.99e-1,-9.96e-1,192.4,0.004
Michalewicz_2D_m10,L-BFGS,10.0,-9.99e-2,-1.00e0,802.0,0.013
Michalewicz_2D_m10,QQN-StrongWolfe,0.0,-4.01e-2,-8.01e-1,1192.1,0.031
Michalewicz_2D_m10,GD-WeightDecay,0.0,-3.24e-6,-2.45e-5,423.0,0.013
Michalewicz_2D_m10,Adam-WeightDecay,0.0,-3.49e-7,-2.33e-6,13.0,0.000
Michalewicz_5D_m10,Adam-AMSGrad,55.0,-2.17e0,-2.71e0,439.6,0.011
Michalewicz_5D_m10,L-BFGS-Conservative,30.0,-1.78e0,-2.69e0,1302.2,0.027
Michalewicz_5D_m10,Trust Region-Standard,0.0,-3.29e-1,-1.53e0,5.5,0.000
Michalewicz_5D_m10,L-BFGS-MoreThuente,5.0,-1.39e0,-2.73e0,519.5,0.010
Michalewicz_5D_m10,GD-WeightDecay,5.0,-1.24e0,-2.69e0,86.0,0.003
Michalewicz_5D_m10,L-BFGS-Limited,0.0,-8.44e-1,-1.86e0,2003.6,0.025
Michalewicz_5D_m10,Trust Region-Conservative,0.0,-9.74e-1,-1.86e0,263.6,0.002
Michalewicz_5D_m10,Adam-Fast,65.0,-2.62e0,-3.29e0,70.8,0.002
Michalewicz_5D_m10,L-BFGS,0.0,-2.16e-1,-8.96e-1,90.4,0.001
Michalewicz_5D_m10,QQN-CubicQuadraticInterpolation,0.0,-8.49e-1,-1.88e0,1726.7,0.056
Michalewicz_5D_m10,QQN-StrongWolfe,25.0,-1.76e0,-2.79e0,1288.2,0.041
Michalewicz_5D_m10,Adam-WeightDecay,10.0,-1.75e0,-2.69e0,178.5,0.004
Michalewicz_5D_m10,QQN-GoldenSection,5.0,-1.36e0,-2.69e0,1751.2,0.033
Michalewicz_5D_m10,GD-Nesterov,5.0,-1.24e0,-2.69e0,159.9,0.005
Michalewicz_5D_m10,GD-AdaptiveMomentum,5.0,-1.09e0,-2.69e0,27.8,0.001
Michalewicz_5D_m10,Adam,80.0,-2.46e0,-2.71e0,474.6,0.010
Michalewicz_5D_m10,Adam-Robust,10.0,-1.65e0,-2.69e0,83.1,0.002
Michalewicz_5D_m10,QQN-Bisection-2,35.0,-1.78e0,-2.85e0,1315.8,0.032
Michalewicz_5D_m10,GD,45.0,-2.00e0,-2.69e0,738.0,0.019
Michalewicz_5D_m10,L-BFGS-Aggressive,0.0,-4.98e-1,-1.25e0,3524.2,0.028
Michalewicz_5D_m10,Trust Region-Aggressive,0.0,-1.81e-1,-7.69e-1,5.0,0.000
Michalewicz_5D_m10,Trust Region-Precise,0.0,-9.85e-1,-1.74e0,41.0,0.000
Michalewicz_5D_m10,Trust Region-Adaptive,0.0,-7.58e-1,-1.73e0,10.8,0.000
Michalewicz_5D_m10,QQN-Bisection-1,20.0,-1.78e0,-2.74e0,1432.2,0.036
Michalewicz_5D_m10,GD-Momentum,5.0,-1.11e0,-2.69e0,51.9,0.002
Michalewicz_10D_m10,Trust Region-Precise,0.0,-3.69e0,-5.30e0,114.2,0.001
Michalewicz_10D_m10,QQN-Bisection-1,0.0,-4.24e0,-5.36e0,2030.0,0.055
Michalewicz_10D_m10,L-BFGS-Limited,0.0,-3.52e0,-5.59e0,3009.3,0.038
Michalewicz_10D_m10,Adam-WeightDecay,0.0,-5.31e0,-6.25e0,179.3,0.004
Michalewicz_10D_m10,QQN-GoldenSection,5.0,-4.14e0,-6.30e0,2197.4,0.045
Michalewicz_10D_m10,GD-Momentum,0.0,-3.79e0,-5.24e0,37.3,0.001
Michalewicz_10D_m10,GD-WeightDecay,0.0,-4.56e0,-6.26e0,174.7,0.006
Michalewicz_10D_m10,QQN-CubicQuadraticInterpolation,0.0,-3.34e0,-6.26e0,1730.8,0.073
Michalewicz_10D_m10,QQN-StrongWolfe,5.0,-4.71e0,-6.27e0,1916.5,0.063
Michalewicz_10D_m10,Trust Region-Aggressive,0.0,-1.68e0,-3.16e0,5.3,0.000
Michalewicz_10D_m10,Adam-Fast,35.0,-6.12e0,-6.77e0,106.2,0.002
Michalewicz_10D_m10,GD-AdaptiveMomentum,0.0,-4.52e0,-6.23e0,27.6,0.001
Michalewicz_10D_m10,L-BFGS,0.0,-3.66e-1,-1.14e0,64.8,0.001
Michalewicz_10D_m10,GD-Nesterov,0.0,-3.74e0,-6.19e0,26.9,0.001
Michalewicz_10D_m10,L-BFGS-Conservative,0.0,-4.54e0,-6.26e0,2566.8,0.037
Michalewicz_10D_m10,Adam-Robust,0.0,-5.03e0,-6.26e0,111.0,0.003
Michalewicz_10D_m10,QQN-Bisection-2,5.0,-4.37e0,-6.26e0,1808.5,0.047
Michalewicz_10D_m10,Adam-AMSGrad,30.0,-5.74e0,-6.28e0,450.1,0.012
Michalewicz_10D_m10,Trust Region-Adaptive,0.0,-3.26e0,-5.27e0,28.7,0.000
Michalewicz_10D_m10,Trust Region-Standard,0.0,-2.49e0,-4.98e0,9.8,0.000
Michalewicz_10D_m10,L-BFGS-Aggressive,0.0,-1.30e0,-3.26e0,3050.9,0.021
Michalewicz_10D_m10,GD,0.0,-3.59e0,-5.04e0,17.2,0.000
Michalewicz_10D_m10,Adam,20.0,-5.84e0,-6.27e0,508.9,0.012
Michalewicz_10D_m10,L-BFGS-MoreThuente,0.0,-4.11e0,-5.98e0,925.2,0.020
Michalewicz_10D_m10,Trust Region-Conservative,0.0,-3.71e0,-5.42e0,644.0,0.005
Rastrigin_2D,Adam-Robust,15.0,9.22e0,7.96e0,111.5,0.003
Rastrigin_2D,QQN-Bisection-1,65.0,8.59e0,1.03e0,125.3,0.003
Rastrigin_2D,GD-AdaptiveMomentum,0.0,8.98e0,7.97e0,21.5,0.001
Rastrigin_2D,Trust Region-Aggressive,0.0,1.29e1,7.97e0,20.1,0.000
Rastrigin_2D,Adam-AMSGrad,55.0,1.02e1,7.96e0,770.2,0.018
Rastrigin_2D,GD-Momentum,0.0,1.04e1,7.98e0,22.7,0.001
Rastrigin_2D,GD-WeightDecay,5.0,1.01e1,7.96e0,24.3,0.001
Rastrigin_2D,QQN-StrongWolfe,65.0,8.32e0,1.36e0,71.4,0.002
Rastrigin_2D,L-BFGS-Conservative,75.0,9.82e0,7.96e0,455.9,0.006
Rastrigin_2D,GD-Nesterov,5.0,1.00e1,7.96e0,20.1,0.001
Rastrigin_2D,QQN-GoldenSection,55.0,8.19e0,1.29e-1,156.0,0.002
Rastrigin_2D,QQN-CubicQuadraticInterpolation,80.0,7.75e0,2.17e0,64.2,0.002
Rastrigin_2D,L-BFGS-MoreThuente,55.0,8.56e0,1.83e0,170.8,0.003
Rastrigin_2D,Adam-Fast,0.0,9.46e0,8.02e0,36.3,0.001
Rastrigin_2D,L-BFGS,5.0,5.70e1,2.49e0,88.4,0.001
Rastrigin_2D,GD,5.0,1.04e1,7.96e0,13.3,0.000
Rastrigin_2D,Trust Region-Adaptive,15.0,9.68e0,7.96e0,241.0,0.002
Rastrigin_2D,Trust Region-Standard,0.0,9.02e0,7.96e0,63.8,0.000
Rastrigin_2D,Trust Region-Conservative,0.0,1.85e1,9.36e0,3002.0,0.019
Rastrigin_2D,L-BFGS-Limited,70.0,9.13e0,5.86e0,106.5,0.001
Rastrigin_2D,Adam,55.0,1.02e1,7.96e0,780.5,0.016
Rastrigin_2D,Trust Region-Precise,10.0,9.71e0,7.96e0,915.9,0.006
Rastrigin_2D,Adam-WeightDecay,50.0,9.71e0,7.96e0,254.7,0.006
Rastrigin_2D,QQN-Bisection-2,30.0,8.57e0,2.07e0,23.8,0.001
Rastrigin_2D,L-BFGS-Aggressive,0.0,2.81e1,1.91e1,3851.8,0.024
Rastrigin_5D,Trust Region-Standard,45.0,2.31e1,1.95e1,168.5,0.001
Rastrigin_5D,Trust Region-Conservative,0.0,6.91e1,5.03e1,3002.0,0.020
Rastrigin_5D,QQN-CubicQuadraticInterpolation,50.0,2.30e1,4.91e0,106.2,0.003
Rastrigin_5D,Trust Region-Aggressive,50.0,2.33e1,1.82e1,45.7,0.000
Rastrigin_5D,Adam-Fast,40.0,2.33e1,1.92e1,48.9,0.001
Rastrigin_5D,GD-Nesterov,45.0,2.37e1,1.99e1,41.2,0.001
Rastrigin_5D,Adam,30.0,2.42e1,2.03e1,745.3,0.016
Rastrigin_5D,Trust Region-Precise,35.0,2.39e1,2.03e1,2558.8,0.017
Rastrigin_5D,Trust Region-Adaptive,60.0,2.34e1,2.02e1,646.1,0.004
Rastrigin_5D,QQN-GoldenSection,35.0,2.31e1,7.97e0,266.0,0.004
Rastrigin_5D,QQN-Bisection-1,25.0,2.48e1,1.80e1,186.6,0.004
Rastrigin_5D,L-BFGS-Aggressive,0.0,7.97e1,5.68e1,3852.0,0.029
Rastrigin_5D,L-BFGS,0.0,1.02e2,5.89e1,98.2,0.001
Rastrigin_5D,QQN-StrongWolfe,40.0,2.36e1,1.16e1,100.2,0.003
Rastrigin_5D,L-BFGS-Conservative,40.0,2.34e1,1.99e1,881.9,0.009
Rastrigin_5D,L-BFGS-Limited,35.0,2.84e1,1.70e1,115.2,0.002
Rastrigin_5D,GD,30.0,2.44e1,1.99e1,15.7,0.000
Rastrigin_5D,GD-Momentum,5.0,3.03e1,2.04e1,28.9,0.001
Rastrigin_5D,GD-WeightDecay,50.0,2.25e1,1.89e1,37.8,0.001
Rastrigin_5D,QQN-Bisection-2,15.0,3.08e1,1.10e1,36.6,0.001
Rastrigin_5D,GD-AdaptiveMomentum,65.0,2.14e1,1.83e1,52.4,0.002
Rastrigin_5D,L-BFGS-MoreThuente,50.0,2.77e1,7.71e0,165.1,0.003
Rastrigin_5D,Adam-WeightDecay,55.0,2.27e1,2.02e1,246.9,0.006
Rastrigin_5D,Adam-Robust,55.0,2.24e1,1.99e1,103.5,0.003
Rastrigin_5D,Adam-AMSGrad,40.0,2.38e1,2.04e1,719.2,0.017
Rastrigin_10D,QQN-Bisection-2,15.0,5.38e1,2.52e1,50.6,0.001
Rastrigin_10D,QQN-StrongWolfe,40.0,5.16e1,3.24e1,118.5,0.003
Rastrigin_10D,GD-Momentum,10.0,6.15e1,4.06e1,30.6,0.001
Rastrigin_10D,L-BFGS-Limited,50.0,4.36e1,3.39e1,122.0,0.002
Rastrigin_10D,GD-WeightDecay,45.0,4.39e1,3.60e1,61.3,0.002
Rastrigin_10D,GD-AdaptiveMomentum,40.0,4.85e1,3.80e1,23.2,0.001
Rastrigin_10D,Adam-AMSGrad,55.0,4.48e1,4.17e1,718.0,0.018
Rastrigin_10D,Trust Region-Conservative,0.0,1.57e2,1.28e2,3002.0,0.021
Rastrigin_10D,Adam,30.0,4.65e1,4.16e1,731.5,0.016
Rastrigin_10D,Trust Region-Precise,0.0,9.70e1,6.33e1,3002.0,0.021
Rastrigin_10D,Trust Region-Adaptive,40.0,4.39e1,4.16e1,1397.8,0.010
Rastrigin_10D,Trust Region-Aggressive,45.0,4.36e1,3.87e1,93.5,0.001
Rastrigin_10D,L-BFGS,0.0,1.85e2,1.42e2,102.0,0.001
Rastrigin_10D,L-BFGS-Conservative,20.0,4.68e1,4.06e1,2037.2,0.020
Rastrigin_10D,QQN-GoldenSection,50.0,4.53e1,2.11e1,275.4,0.005
Rastrigin_10D,QQN-CubicQuadraticInterpolation,60.0,4.52e1,3.21e1,102.5,0.003
Rastrigin_10D,GD,35.0,4.47e1,3.89e1,19.4,0.001
Rastrigin_10D,QQN-Bisection-1,45.0,5.11e1,3.88e1,216.4,0.005
Rastrigin_10D,GD-Nesterov,25.0,4.50e1,4.02e1,249.0,0.008
Rastrigin_10D,Adam-Robust,30.0,4.44e1,4.13e1,127.9,0.003
Rastrigin_10D,Adam-Fast,30.0,4.51e1,3.98e1,71.9,0.002
Rastrigin_10D,L-BFGS-MoreThuente,65.0,4.11e1,2.56e1,291.6,0.006
Rastrigin_10D,L-BFGS-Aggressive,0.0,1.63e2,1.40e2,3852.0,0.031
Rastrigin_10D,Adam-WeightDecay,35.0,4.52e1,4.15e1,253.8,0.006
Rastrigin_10D,Trust Region-Standard,25.0,4.59e1,4.10e1,346.6,0.002
Ackley_2D_a20_b0.2_c6.28e0,Adam-Fast,0.0,3.62e0,3.57e0,52.9,0.001
Ackley_2D_a20_b0.2_c6.28e0,GD-Nesterov,0.0,3.57e0,3.57e0,30.6,0.001
Ackley_2D_a20_b0.2_c6.28e0,Adam-Robust,0.0,3.58e0,3.57e0,42.9,0.001
Ackley_2D_a20_b0.2_c6.28e0,Trust Region-Conservative,0.0,3.58e0,3.57e0,171.2,0.001
Ackley_2D_a20_b0.2_c6.28e0,GD-Momentum,0.0,3.70e0,3.57e0,14.7,0.000
Ackley_2D_a20_b0.2_c6.28e0,QQN-StrongWolfe,15.0,3.49e0,3.00e0,62.8,0.001
Ackley_2D_a20_b0.2_c6.28e0,QQN-CubicQuadraticInterpolation,40.0,3.44e0,1.95e0,496.8,0.015
Ackley_2D_a20_b0.2_c6.28e0,L-BFGS,50.0,3.20e0,1.89e0,202.7,0.003
Ackley_2D_a20_b0.2_c6.28e0,GD-AdaptiveMomentum,0.0,3.57e0,3.57e0,15.2,0.001
Ackley_2D_a20_b0.2_c6.28e0,QQN-GoldenSection,35.0,3.18e0,1.58e0,137.5,0.002
Ackley_2D_a20_b0.2_c6.28e0,Adam,0.0,3.57e0,3.57e0,301.6,0.006
Ackley_2D_a20_b0.2_c6.28e0,L-BFGS-Aggressive,20.0,3.74e0,2.80e0,3083.9,0.018
Ackley_2D_a20_b0.2_c6.28e0,Trust Region-Standard,0.0,5.19e0,3.58e0,8.6,0.000
Ackley_2D_a20_b0.2_c6.28e0,Trust Region-Aggressive,0.0,4.78e0,3.62e0,5.3,0.000
Ackley_2D_a20_b0.2_c6.28e0,GD-WeightDecay,0.0,3.59e0,3.57e0,49.2,0.002
Ackley_2D_a20_b0.2_c6.28e0,Trust Region-Adaptive,5.0,3.66e0,3.32e0,14.8,0.000
Ackley_2D_a20_b0.2_c6.28e0,QQN-Bisection-1,60.0,2.85e0,1.12e-2,53.6,0.001
Ackley_2D_a20_b0.2_c6.28e0,L-BFGS-Conservative,0.0,3.57e0,3.57e0,183.6,0.004
